Y25,Pop
0.04,4184537.2000000500
0.08,8403837.200000050
0.12,12665258.100000000
0.16,16961560.400000000
0.2,21290948.100000000
0.24,25651126.800000000
0.28,30038528.600000000
0.32,34452803.5
0.36,38886512.900000000
0.4,44113927.600000000
0.44,48767896.600000000
0.48,53560806.0
0.52,58493281.0
0.56,63565736.0
0.6,68778938.0
0.64,74130078.0
0.68,79617713.0
0.72,85242311.0
0.76,91003211.0
0.8,96901138.0
0.84,102813384.0
0.88,108736226.0
0.92,114668436.0
0.96,120606603.0
1.0,126562371.0
1.04,132531147.0
1.08,138514226.0
1.12,144511641.0
1.16,150524939.0
1.2,156554804.0
1.24,162594331.0
1.28,168541032.0
1.32,174390477.0
1.36,180145416.0
1.4,185805915.0
1.44,191366230.0
1.48,196802297.0
1.52,202096882.0
1.56,207265135.0
1.6,212316429.0
1.64,217095260.0
1.68,221741208.0
1.72,226258688.0
1.76,230640797.0
1.8,234897869.0
1.84,239020544.0
1.88,243017719.0
1.92,246891605.0
1.96,250644996.0
2.0,254281661.0
2.04,257925289.0
2.08,261524195.0
2.12,265084371.0
2.16,268611192.0
2.2,272100258.0
2.24,275539056.0
2.28,278934180.0
2.32,282304532.0
2.36,285697745.0
2.4,289059032.0
2.44,292533706.0
2.48,296325739.0
2.52,300435725.0
2.56,304861734.0
2.6,309606230.0
2.64,314677489.0
2.68,320081916.0
2.72,325804154.0
2.76,331846227.0
2.8,338208717.0
2.84,344891707.0
2.88,351821445.0
2.92,357829229.0
2.96,365317437.0
3.0,373095999.0
3.04,381182660.0
3.08,388810525.0
3.12,397661027.0
3.16,406865398.0
3.2,416244173.0
3.24,425459632.0
3.28,435057250.0
3.32,444792454.0
3.36,454354763.0
3.4,464309599.0
3.44,474417789.0
3.48,484361638.0
3.52,494717752.0
3.56,505247554.0
3.6,515955575.0
3.64,526830092.0
3.68,537922777.0
3.72,549249679.0
3.76,560791419.0
3.8,572536111.0
3.84,584506813.0
3.88,596717005.0
3.92,609126236.0
3.96,621787323.0
4.0,634627501.0
4.04,647628314.0
4.08,660550785.0
4.12,673872483.0
4.16,687376222.0
4.2,701089198.0
4.24,714951087.0
4.28,728494564.0
4.32,742635312.0
4.36,757398257.0
4.4,772630099.0
4.44,787976637.0
4.48,804539284.0
4.52,821299359.0
4.56,837613437.0
4.6,853132205.0
4.64,867435622.0
4.68,880969535.0
4.72,892634429.0
4.76,905401569.0
4.8,919319869.0
4.84,935547949.0
4.88,951765017.0
4.92,968403595.0
4.96,985310699.0
5.0,1002190871.0
5.04,1018930555.0
5.08,1035771212.0
5.12,1052547050.0
5.16,1070281096.0
5.2,1089511194.0
5.24,1110472617.0
5.28,1132156403.0
5.32,1153678256.0
5.36,1175134989.0
5.4,1196429508.0
5.44,1218024088.0
5.48,1239768933.0
5.52,1262030826.0
5.56,1283730199.0
5.6,1304865112.0
5.64,1325613605.0
5.68,1346688849.0
5.72,1368051708.0
5.76,1387954583.0
5.8,1408527736.0
5.84,1432028934.0
5.88,1460028812.0
5.92,1490820287.0
5.96,1530479782.0
6.0,1576030281.0
6.04,1623186392.0
6.08,1669551942.0
6.12,1715778688.0
6.16,1762413549.0
6.2,1809897701.0
6.24,1858564094.0
6.28,1908640117.0
6.32,1960258651.0
6.36,2013475233.0
6.4,2068321022.0
6.44,2124858308.0
6.48,2183230340.0
6.52,2243681367.0
6.56,2306497995.0
6.6,2371833480.0
6.64,2439770943.0
6.68,2510109966.0
6.72,2582352829.0
6.76,2655817617.0
6.8,2729963049.0
6.84,2804689972.0
6.88,2879992799.0
6.92,2955552012.0
6.96,3031018952.0
7.0,3106189576.0
7.04,3180888996.0
7.08,3255276001.0
7.12,3329911820.0
7.16,3405585577.0
7.2,3482895333.0
7.24,3561836416.0
7.28,3642292413.0
7.32,3724587779.0
7.36,3809089839.0
7.4,3895940725.0
7.44,3985348089.0
7.48,4076912566.0
7.52,4169403822.0
7.56,4261165664.0
7.6,4350974028.0
7.64,4438407161.0
7.68,4523683631.0
7.72,4607024639.0
7.76,4688905315.0
7.8,4769721176.0
7.84,4849477330.0
7.88,4928149985.0
7.92,5006108678.0
7.96,5083818998.0
8.0,5161659902.0
8.04,5239778241.0
8.08,5318240586.0
8.12,5397238471.0
8.16,5476955155.0
8.2,5557516177.0
8.24,5638995376.0
8.28,5721373258.0
8.32,5804546011.0
8.36,5888343706.0
8.4,5972603412.0
8.44,6057277586.0
8.48,6142283493.0
8.52,6227370463.0
8.56,6312231076.0
8.6,6396615483.0
8.64,6480392263.0
8.68,6563505392.0
8.72,6645876647.0
8.76,6727453853.0
8.8,6808189409.0
8.84,6888014604.0